Price,Beds,Baths
795000,2,1
999000,2,1
995900,2,2
789000,2,2
575000,1,1
1799000,3,2
679900,2,1
499999,2,1
699000,3,2
758000,2,1
799000,2,2
738000,2,2
1338000,1,1
549000,1,1
749000,2,2
2199000,11,4
1279900,6,3
3598000,9,5
2285000,4,4
1859000,3,3
619000,2,1
968000,3,2
1649000,4,4
1089000,2,2
848000,3,2
949000,3,1
1039900,4,2
1079000,3,2
1049000,4,3
645000,1,1
539000,1,1
679800,2,2
610000,1,1
874000,2,2
1988000,3,2
1399000,3,2
888000,2,1
1188000,3,2
649000,2,2
899880,2,2
1895000,3,2
529000,1,1
789000,2,2
1599900,6,3
679900,2,2
2159000,4,3
1975000,5,5
1129000,2,2
1147000,3,2
969900,2,3
1499990,4,3
989900,5,2
899900,2,1
579000,1,1
675000,2,2
574900,2,1
699000,2,2
1950000,4,2
499000,1,1
2000000,5,3
1989000,5,4
1289000,3,2
739000,2,2
899000,3,2
999888,3,3
585000,1,1
749900,2,1
499999,1,1
949000,4,1
2095000,1,1
499000,4,3
1049900,3,3
1048000,2,1
749900,4,4
1699000,3,2
500000,2,2
1399000,1,1
699888,2,2
788888,1,1
1249900,4,2
1720000,3,2
1249000,3,2
399900,2,1
499990,3,2
1699999,4,3
949000,4,3
499999,2,1
925000,3,2
759000,2,2
999000,2,2
850000,2,2
659900,2,1
2688000,5,5
1399000,3,3
1995000,5,2
1099000,4,2
788000,2,2
664900,2,1
468500,1,1
2149000,5,3
674000,2,1
3195000,4,4
690000,2,2
2799000,5,4
642000,1,1
1389000,3,2
1265000,3,2
1699000,2,2
499000,1,1
499888,1,1
1049888,4,3
698000,2,1
2849888,3,4
1328000,3,2
599999,2,1
1365000,3,2
1550000,4,3
610000,2,1
1099000,4,2
975000,2,2
745000,2,2
1099000,2,2
738880,2,1
799900,3,1
2999999,3,3
699900,2,1
3339000,6,5
618000,1,1
1649000,4,3
3599900,3,4
699990,2,2
1300000,4,2
975000,2,1
899000,3,2
799000,2,2
849000,3,2
3699000,4,4
525000,1,1
1099000,3,3
2595000,7,6
1259900,4,1
1225000,2,2
925000,2,1
1250000,2,2
589900,1,1
680000,2,2
849900,2,2
1199000,3,2
799000,3,3
509000,1,1
1900000,4,3
598888,2,1
1095000,2,2
1479000,5,3
998000,5,4
1299000,3,2
849000,3,2
980000,2,2
4739000,5,6
998000,3,2
1299900,2,2
2799000,4,4
2495000,3,3
1450000,2,2
699900,1,1
599000,2,1
849000,2,2
599900,1,1
599000,1,1
1399900,5,2
1709000,4,2
620000,2,1
1129000,3,3
1950000,4,3
1698000,3,2
988000,3,2
699900,2,1
749000,2,1
3199999,4,5
549800,1,1
359000,1,1
429000,0,1
3695000,5,4
799000,3,2
2249000,6,5
659990,1,1
899000,4,2
975000,3,2
1099000,3,2
749900,3,1
2399000,4,4
415000,2,1
999999,3,2
1499000,5,4
2499998,5,4
1699000,6,5
1599000,3,3
1499000,3,2
749999,2,1
2388000,4,4
629000,2,1
1250000,2,2
629000,2,1
815000,2,1
520000,1,1
599900,2,1
599900,2,1
6095000,5,5
2099000,4,3
749900,2,1
679000,2,1
3849000,4,4
898800,3,2
1098999,3,2
579000,1,1
599000,2,1
724900,2,1
1249000,4,3
649900,2,1
949000,3,3
730000,2,1
1149000,4,2
499900,3,1
1149000,7,3
799000,3,2
1525000,5,2
45000,3,5
599000,2,1
678888,2,1
1829000,4,5
595000,2,1
765000,2,1
599000,1,1
1349000,3,1
659100,2,1
1139000,2,2
1290000,3,3
1999000,4,3
3379000,6,4
729000,2,1
1195000,3,3
839000,2,1
2399000,2,3
1200000,3,2
749900,3,2
399000,1,1
525000,2,1
899000,3,1
3149900,3,5
1695000,4,3
999785,3,2
1155000,3,2
1080000,2,2
1150000,3,2
899900,3,2
499999,1,1
619000,2,1
798000,4,2
649000,1,1
685000,2,1
829900,1,1
950000,4,2
668000,2,1
1359999,3,5
1399900,3,3
575000,2,1
1399000,3,3
688000,2,1
838000,2,1
723000,2,1
950000,3,2
1849000,4,2
529000,1,1
599000,2,1
629999,2,1
749000,4,3
799000,2,2
575000,2,1
539000,1,1
988000,4,4
1159000,3,3
1649000,5,4
675000,1,1
949888,3,2
749900,2,2
699000,2,2
750000,1,1
759900,2,1
1079000,3,2
1150000,4,4
630000,2,1
2198000,3,2
435000,0,1
1488000,3,2
639900,2,2
2199000,4,5
699000,1,1
968000,2,2
669000,2,2
575000,1,1
985000,4,2
635000,2,1
1495000,4,2
778000,1,1
649900,1,1
925000,2,2
549800,2,1
2248000,4,3
708000,2,1
3099000,6,6
715000,2,2
739000,3,2
530000,1,1
1875000,4,3
2588800,4,4
650000,2,2
1499000,4,6
675000,2,1
599900,1,1
509900,1,1
7595000,7,6
535000,1,1
2188800,4,4
629999,2,2
2699900,5,5
2380000,10,5
648888,1,1
1495000,4,2
524900,3,2
459000,0,1
595888,2,2
3495000,5,5
2475000,3,3
650000,1,1
895000,2,2
575000,2,1
2999900,15,4
1075000,3,2
714900,1,1
1799999,4,2
749900,2,2
798000,2,2
3995000,5,6
1049800,4,2
499888,3,2
998000,3,1
2399000,5,6
929000,3,2
2260000,5,4
725000,2,2
2650000,5,4
1099900,2,2
479900,1,1
698000,4,1
769900,3,2
3999990,3,3
759000,2,1
645000,2,2
809000,2,2
1298800,3,3
699900,2,2
2999000,5,6
959999,3,2
848000,2,2
636000,1,1
488000,2,2
899000,1,1
888000,3,2
1149999,3,2
3198000,4,4
2749000,6,4
1599000,5,4
647500,2,2
624500,2,1
499999,1,1
819000,3,3
1862400,4,4
999000,3,3
1299900,3,3
1399000,4,3
980000,3,2
1639000,4,2
599000,1,1
799000,2,1
4999000,4,4
1999900,3,4
829900,2,2
724500,2,2
1710000,3,2
749900,2,1
1768000,3,2
399990,0,1
1249000,2,3
668000,1,1
1149999,2,1
588000,2,2
2050000,4,2
560000,1,1
599999,2,1
1599999,3,2
475000,1,1
1195000,3,2
665000,2,1
639900,2,1
599900,3,1
1499000,4,2
1048000,3,1
449000,1,1
799000,4,3
519900,1,1
749900,2,1
645000,2,1
675000,2,2
1475000,3,2
669900,2,1
700000,2,2
930000,3,2
579900,1,1
600000,2,1
679000,1,1
639900,3,2
564900,1,1
489000,0,1
725000,1,1
549000,2,1
499999,1,1
799900,2,2
1375000,3,2
866800,1,1
829000,2,1
895000,2,2
1099999,4,2
888000,2,2
1499999,5,5
724900,2,2
774900,3,2
649000,2,2
599888,2,2
749900,2,1
619900,1,1
739900,2,1
1080000,3,3
499000,2,1
728000,2,1
888000,3,3
620000,2,1
649999,2,2
625000,2,1
689000,2,2
999000,4,3
1745000,5,4
598000,1,1
999888,5,4
569989,2,1
499800,0,1
799900,2,1
678000,2,1
589000,1,1
2495000,0,0
788000,2,1
5150000,5,4
1995000,4,2
778000,2,2
1899000,3,0
1248000,3,3
589900,2,1
629900,2,1
459900,3,2
1349000,5,2
1899000,4,5
1799000,4,2
3098000,4,4
1635000,4,3
898000,3,3
1278000,3,2
979000,2,2
1099000,2,2
3369000,5,4
1099000,2,2
725000,2,2
2995000,3,4
899000,2,1
579000,1,1
597500,2,1
619000,2,1
724900,2,1
1249000,2,2
499999,2,1
549000,1,1
399900,1,1
2699000,3,3
699000,2,1
3595000,5,5
929000,2,2
890000,2,1
1458000,5,3
599000,1,1
799000,2,1
769999,2,2
835000,2,2
2349900,5,4
1070000,2,2
1599000,3,3
999000,2,2
899900,4,2
949900,2,2
538000,1,1
649900,2,1
825000,3,2
619900,1,1
410000,1,1
620000,1,1
609900,2,1
899000,2,2
1369000,3,2
150000,0,0
5825000,15,8
1850000,3,2
758000,2,1
699900,2,2
2688888,6,5
925000,2,2
769000,1,1
619000,2,2
1399000,4,3
619999,3,2
1795000,2,2
679900,2,1
730000,2,1
659999,2,1
700000,1,1
828800,2,2
699000,2,1
2699000,3,3
628888,1,1
610000,1,1
456999,3,3
1650000,3,3
1125990,4,3
1062990,1,1
719900,2,1
598888,2,1
628888,1,1
818800,2,2
672000,1,1
1299999,6,4
599900,1,1
779000,2,2
549900,1,1
698000,2,1
2095000,2,2
699000,2,1
1150000,4,2
1168000,3,2
739000,2,2
759000,2,1
415000,1,1
1090000,3,2
1129900,2,2
799000,3,2
720000,2,2
859000,3,2
799000,2,1
2995000,5,5
1689000,3,2
3198000,5,5
1795000,3,3
1099000,3,2
649000,2,2
456999,2,1
579000,1,1
1675000,4,4
2200000,2,3
559000,1,1
489000,1,1
1500000,5,3
655000,2,1
659900,2,1
828000,1,1
899000,2,2
1752400,3,2
1398000,2,1
1425000,3,2
1099000,1,1
1299000,2,1
708800,2,1
1995000,4,3
999999,3,2
3795000,5,5
2899000,4,5
1148800,2,2
990000,2,1
1672000,2,2
1999000,8,3
674900,2,1
899900,4,2
419900,2,1
425000,2,1
1200000,3,2
